Date,Open,High,Low,Close,Adj Close,Volume
2018-09-26,114.470001,115.059998,113.739998,113.980003,113.980003,19352000
2018-09-27,114.779999,114.910004,114.199997,114.410004,114.410004,19091300
2018-09-28,114.190002,114.570000,113.680000,114.370003,114.370003,21647800
2018-10-01,114.750000,115.680000,114.730003,115.610001,115.610001,18883100
2018-10-02,115.300003,115.839996,114.440002,115.150002,115.150002,20787200
2018-10-03,115.419998,116.180000,114.930000,115.169998,115.169998,16648000
2018-10-04,114.610001,114.760002,111.629997,112.790001,112.790001,34821700
2018-10-05,112.629997,113.169998,110.639999,112.129997,112.129997,29068900
2018-10-08,111.660004,112.029999,109.339996,110.849998,110.849998,29640600
2018-10-09,111.139999,113.080002,110.800003,112.260002,112.260002,26198600
2018-10-10,111.239998,111.500000,105.790001,106.160004,106.160004,61376300
2018-10-11,105.349998,108.930000,104.199997,105.910004,105.910004,63904300
2018-10-12,109.010002,111.239998,107.120003,109.570000,109.570000,47742100
2018-10-15,108.910004,109.480003,106.949997,107.599998,107.599998,32068100
2018-10-16,109.540001,111.410004,108.949997,111.000000,111.000000,31610200
2018-10-17,111.680000,111.809998,109.550003,110.709999,110.709999,26548200
2018-10-18,110.099998,110.529999,107.830002,108.500000,108.500000,32506200
2018-10-19,108.930000,110.860001,108.209999,108.660004,108.660004,32785500
2018-10-22,109.320000,110.540001,108.239998,109.629997,109.629997,26545600
2018-10-23,107.769997,108.970001,105.110001,108.099998,108.099998,43770400
2018-10-24,108.410004,108.489998,101.589996,102.320000,102.320000,63897800
2018-10-25,106.550003,109.269997,106.150002,108.300003,108.300003,61602300
2018-10-26,105.690002,108.000000,104.760002,107.970001,107.970001,25319778
