Date,Open,High,Low,Close,Adj Close,Volume
2018-09-26,27.250000,27.350000,26.549999,27.110001,27.110001,3638300
2018-09-27,27.209999,27.290001,26.951000,27.049999,27.049999,1540100
2018-09-28,26.900000,27.040001,26.309999,26.830000,26.830000,3221200
2018-10-01,26.820000,26.930000,25.700001,26.219999,26.219999,4674300
2018-10-02,26.379999,26.530001,26.030001,26.320000,26.320000,2659700
2018-10-03,26.370001,26.520000,26.059999,26.250000,26.250000,1672000
2018-10-04,26.070000,26.209999,24.170000,24.540001,24.540001,6012900
2018-10-05,24.690001,24.860001,22.920000,24.070000,24.070000,8569500
2018-10-08,23.500000,23.820000,22.150000,22.850000,22.850000,5834500
2018-10-09,22.379999,23.389999,22.180000,22.750000,22.750000,4785100
2018-10-10,23.420000,23.559999,22.190001,22.780001,22.780001,7874700
2018-10-11,22.590000,23.570000,22.070000,22.870001,22.870001,5771000
2018-10-12,23.370001,24.000000,23.270000,23.920000,23.920000,4268800
2018-10-15,23.760000,24.190001,23.250000,23.969999,23.969999,1828800
2018-10-16,24.250000,25.010000,24.200001,24.900000,24.900000,2197800
2018-10-17,24.889999,24.959999,24.379999,24.860001,24.860001,1457900
2018-10-18,24.600000,24.760000,23.750000,24.190001,24.190001,1750700
2018-10-19,24.190001,24.660000,23.260000,23.379999,23.379999,1605800
2018-10-22,23.410000,23.680000,22.950001,23.420000,23.420000,2288800
2018-10-23,22.610001,23.594999,22.511000,23.360001,23.360001,2923300
2018-10-24,23.299999,23.299999,21.969999,21.990000,21.990000,2726300
2018-10-25,22.230000,22.469999,21.360001,22.350000,22.350000,2892600
2018-10-26,21.650000,22.350000,21.510000,22.350000,22.350000,1195551
